Functional location,Function Location Description,Failure_Code,STATUS,SystemSelector,Pre-Review Criticality,Workshop_Revised_Criticality,Reason For Change,S_WS,E_WS,P_WS,B_WS,Safety,Environment,Production,Business,Comment on Post-workshop changes,Final Overall Equipment Criticality
E-PM-0505,FILL/RECIRCULATION PUMP MOTOR FOR PUMP E-P-0505,FA_EECMI,VALID,05,B,B,align with parent,H7,H7,G6,G6,C,C,B,B,Risk inputs copied from parent,B
E-PM-0502,LP HYDRAULIC PUMP MOTOR FOR PUMP E-P-0502,FA_EECMI,VALID,05,B,B,align with parent,H7,H7,G6,G6,C,C,B,B,Risk inputs copied from parent,B
E-PM-0504,HP HYDRAULIC PUMP MOTOR FOR PUMP E-P-0504,FA_EECMI,VALID,05,B,B,align with parent,H7,H7,G6,G6,C,C,B,B,Risk inputs copied from parent,B
E-PM-0501,LP HYDRAULIC PUMP MOTOR FOR PUMP E-P-0501,FA_EECMI,VALID,05,B,B,align with parent,H7,H7,G6,G6,C,C,B,B,Risk inputs copied from parent,B
E-PM-0503,HP HYDRAULIC PUMP MOTORFOR PUMP E-P-0503,FA_EECMI,VALID,05,B,B,align with parent,H7,H7,G6,G6,C,C,B,B,Risk inputs copied from parent,B
E-ECP-0501-ECS07,HAND SWITCH ON LOCAL CONTROL PANEL E-ECP-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-ECP-0501-ECS02A,HAND SWITCH ON LOCAL CONTROL PANEL E-ECP-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-ECP-0501-ECS02B,HAND SWITCH ON LOCAL CONTROL PANEL E-ECP-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-ECP-0501-ECS03A,HAND SWITCH ON LOCAL CONTROL PANEL E-ECP-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-ECP-0501-ECS03B,HAND SWITCH ON LOCAL CONTROL PANEL E-ECP-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-ECP-0501-ECS01,HAND SWITCH ON LOCAL CONTROL PANEL E-ECP-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-EIS-0501,ELECTRICAL ISOLATION SWITCH FOR PUMP MOTOR E-PM-0505,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-EIS-0502A,ELECTRICAL ISOLATION SWITCH FOR PUMP MOTOR E-PM-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-EIS-0502B,ELECTRICAL ISOLATION SWITCH FOR PUMP MOTOR E-PM-0502,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-EIS-0503A,ELECTRICAL ISOLATION SWITCH FOR PUMP MOTOR E-PM-0503,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-EIS-0503B,ELECTRICAL ISOLATION SWITCH FOR PUMP MOTOR E-PM-0504,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-ESW-0501,ELECTRICAL SWITCH FOR 36W TWIN FLUORESCENT LIGHT FITTING,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-05-HS-005,HAND SWITCH EMERGENCY STOP FOR E-PM-0505,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-05-HS-001,HAND SWITCH EMERGENCY STOP FOR E-PM-0501,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-05-HS-002,HAND SWITCH EMERGENCY STOP FOR E-PM-0502,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-05-HS-003,HAND SWITCH EMERGENCY STOP FOR E-PM-0503,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-05-HS-004,HAND SWITCH EMERGENCY STOP FOR E-PM-0504,FA_EEPS,VALID,05,A,C,"change to C, general switches",G5,H5,G5,H5,C,C,C,C,assigned during workshop,C
E-EPU-0502B1,ELECTRICAL SUBSEA POWER UNIT B1 FOR GIZA FAYOUM IN ELECTRICAL EPU ROOM,FA_EETO,VALID,05,A,B,"change to B, redundancy, managed by subsea",H7,H7,G6,H7,C,C,B,C,Production impact changed to meet workshop output,B
E-EPU-0502B2,ELECTRICAL SUBSEA POWER UNIT B1 FOR GIZA FAYOUM IN IN ELECTRICAL EPU ROOM,FA_EETO,VALID,05,A,B,"change to B, redundancy, managed by subsea",H7,H7,G6,H7,C,C,B,C,Production impact changed to meet workshop output,B
E-EPU-0501A1,ELECTRICAL SUBSEA POWER UNIT A1 FOR RAVEN IN ELECTRICAL EPU ROOM,FA_EETO,VALID,05,A,B,"change to B, redundancy, managed by subsea",H7,H7,G6,H7,C,C,B,C,Production impact changed to meet workshop output,B
E-EPU-0501A2,ELECTRICAL SUBSEA POWER UNIT A2 FOR RAVEN IN ELECTRICAL EPU ROOM,FA_EETO,VALID,05,A,B,"change to B, redundancy, managed by subsea",H7,H7,G6,H7,C,C,B,C,Production impact changed to meet workshop output,B
E-ECP-0501,ELECTRICAL CONTROL PANEL FOR HPU PLC CONTROL SYSTEM,FA_EETP,VALID,05,A,B,"change to B, general control",G5,H6,G6,F5,C,C,B,B,Production impact changed to meet workshop output,B
E-EMP-05002,MARSHALLING PANEL FOR HPU PLC CONTROL SYSTEM,FA_EETP,VALID,05,A,B,"change to B, general control",G5,H6,G6,F5,C,C,B,B,Production impact changed to meet workshop output,B
E-EMP-05001,MARSHALLING PANEL FOR SIS JUNCTION BOX,FA_EETP,VALID,05,A,B,"change to B, general control",G5,H6,G6,F5,C,C,B,B,Production impact changed to meet workshop output,B
E05LG001,LEVEL GAUGE ON HYDRAULIC RETURN RESERVOIR E-TK-0501,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05LG002,LEVEL GAUGE ON HYDRAULIC RETURN RESERVOIR E-TK-0502,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG011,PRESSURE GAUGE FROM E-P-0505 TO E-FL-0503A/B,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG002,PRESSURE GAUGE FROM LP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG003,PRESSURE GAUGE FROM LP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG004,PRESSURE GAUGE FROM LP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG005,PRESSURE GAUGE FROM LP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG007,PRESSURE GAUGE FROM HP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG008,PRESSURE GAUGE FROM HP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
E05PG009,PRESSURE GAUGE FROM HP HYDRAULIC SUPPLY,FA_INDI,VALID,05,B,C,"Gauge criticality overstated by matrix rules in high criticality systems, reset to F_Code default",H7,H7,H7,H7,C,C,C,C,,C
