FailureCode,Description,Number found in MEL,Safety,Environment,Production,Business Non Financial,Safety Crit,Environmental Crit,Production Crit,Business Crit,?,Fcode Crit,-
FA_CFBC,CONTROL ROOM,0,E3,H3,H3,H3,B,C,C,C,?,B,
FA_CFSGW,WALL OR FENCE,0,G3,H3,H3,H3,C,C,C,C,?,C,
FA_CFSSE,EQUIPMENT SUPPORT STRUCTURE,0,E3,H3,H3,G3,B,C,C,C,?,B,
FA_CFSSF,STRUCTURAL FOUNDATION,0,F3,H3,H3,H3,C,C,C,C,?,C,
FA_CFSST,STRUCTURAL BASE,0,E3,H3,H3,G3,B,C,C,C,?,B,
FA_EECF,LIGHT FITTING,398,H7,H7,H7,H7,C,C,C,C,?,C,
FA_EECH,ELECTRIC HEATER,64,G5,H5,G5,H5,C,C,C,C,?,C,
FA_EECMD,DC ELECTRIC MOTOR,7,E6,H6,F6,H6,A,C,B,C,?,A,
FA_EECMI,AC INDUCTION ELECTRIC MOTOR,379,H6,H6,H6,H6,C,C,C,C,?,C,
FA_EECMS,AC SYNCHRONOUS ELECTRIC MOTOR,1,F6,H6,F6,H6,B,C,B,C,?,B,
FA_EECO,ELECTRIC SOCKET OUTLET,18,H6,H6,H6,H6,C,C,C,C,?,C,
FA_EEPBA,AIR CIRCUIT BREAKER,868,H6,H6,H6,H6,C,C,C,C,?,C,
FA_EEPBV,VACUUM CIRCUIT BREAKER,47,F6,H6,F6,H6,B,C,B,C,?,B,
FA_EEPCS,SACRIFICIAL ANODE,5,H5,H5,H5,G5,C,C,C,C,?,C,
FA_EEPNE,EARTHING BAR,118,H6,H6,H6,H6,C,C,C,C,?,C,
FA_EEPNN,NEUTRAL GROUND RESISTOR,8,F6,H6,F6,G6,B,C,B,B,?,B,
FA_EEPS,START / STOP SWITCH,171,F6,H6,F6,H6,B,C,B,C,?,B,
FA_EEPU,UNINTERRUPTIBLE POWER SUPPLY,4,E7,H7,F7,F7,A,C,A,A,?,A,
FA_EETB,BATTERY,15,E7,H7,F7,F7,A,C,A,A,?,A,
FA_EETC,BATTERY CHARGER,4,E7,H7,F7,F7,A,C,A,A,?,A,
FA_EETD,BUS DUCT / BUS BAR,70,F3,H3,F3,G3,C,C,C,C,?,C,
FA_EETFW,WET TRANSFORMER,20,H4,H4,F4,F4,C,C,B,B,?,B,
FA_EETGA,AC ELECTRIC GENERATOR,11,G5,H5,F5,G5,C,C,B,C,?,B,
FA_EETI,ELECTRIC ISOLATOR,9,G6,H6,H6,H6,B,C,C,C,?,B,
FA_EETM,MOTOR CONTROL CENTER,910,H6,H6,H6,H6,C,C,C,C,?,C,
FA_EETO,POWER / CONTROL MODULE,4,H6,H6,F6,H6,C,C,B,C,?,B,
FA_EETP,ELECTRICAL PANEL,3,G4,H4,F4,F4,C,C,B,B,?,B,
FA_EETR,POWER RECTIFIER,2,H4,H4,F4,F4,C,C,B,B,?,B,
FA_EETW,SWITCHGEAR,140,H6,H6,H6,H6,C,C,C,C,?,C,
FA_EETY,POWER SUPPLY,28,G4,H4,G4,H4,C,C,C,C,?,C,
FA_INAM,FLOW METER,15,H6,H6,G6,H6,C,C,B,C,?,B,
FA_INAP,SAMPLER,10,H7,H7,H7,G7,C,C,C,B,?,B,
FA_INDC,LOCAL CONTROLLER,8,H6,H6,F6,H6,C,C,B,C,?,B,
FA_INDFD,DAMPER,20,E7,H7,H7,G7,A,C,C,B,?,A,
FA_INDFS,SOLENOID VALVE,204,H6,H6,F6,H6,C,C,B,C,?,B,
FA_INDI,INDICATOR,1249,H7,H7,H7,H7,C,C,C,C,?,C,
FA_INDMS,SENSING ELEMENT,1386,H6,H6,F6,H6,C,C,B,C,?,B,
FA_INDMT,TRANSMITTER,2410,H5,H5,F5,H5,C,C,B,C,?,B,
FA_INDS,INSTRUMENT SWITCH,1048,H6,H6,H6,H6,C,C,C,C,?,C,
FA_INDT,TRANSDUCER,33,H5,H5,F5,H5,C,C,B,C,?,B,
FA_INSC,PLC PANEL,8,G7,H7,G7,H7,B,C,B,C,?,B,
FA_INSJ,JUNCTION BOX,734,H7,H7,H7,H7,C,C,C,C,?,C,
FA_INSL,LOCAL CONTROL PANEL,206,H5,H5,H5,H5,C,C,C,C,?,C,
FA_INSS,OPERATOR STATION,3,G7,H7,G7,H7,B,C,B,C,?,B,
FA_INSY,SAFETY INSTRUMENT SYSTEM PANEL,19,E7,H7,G7,G7,A,C,B,B,?,A,
FA_PEA,SELF-ACTUATING VALVE,125,H5,H5,G5,G5,C,C,C,C,?,C,
FA_PEG,PIPING,0,G4,H4,G4,G4,C,C,C,C,?,C,
FA_PEL,PIG LAUNCHER / RECEIVER,0,H5,H5,E5,F5,C,C,A,B,?,A,
FA_PEM,MANIFOLD,0,H4,H4,F4,G4,C,C,B,C,?,B,
FA_PEO,RESTRICTIVE ORIFICE,0,H4,H4,H4,H4,C,C,C,C,?,C,
FA_PESC,CONVENTIONAL PRESSURE SAFETY VALVE,502,E5,F5,F5,H5,A,B,B,C,?,A,
FA_PESR,RUPTURE DISC,49,E5,F5,F5,H5,A,B,B,C,?,A,
FA_PESV,VACUUM RELIEF PRESSURE SAFETY VALVE,15,E5,F5,F5,H5,A,B,B,C,?,A,
FA_PET,THERMOWELL,0,E5,H5,F5,H5,A,C,B,C,?,A,
FA_PEVB,BALL VALVE,5535,G5,G5,G5,H5,C,C,C,C,?,C,
FA_PEVC,CHECK VALVE,1013,G5,G5,G5,H5,C,C,C,C,?,C,
FA_PEVD,DIAPHRAGM VALVE,3,G5,G5,G5,H5,C,C,C,C,?,C,
FA_PEVG,GATE VALVE,2331,G5,G5,G5,H5,C,C,C,C,?,C,
FA_PEVL,GLOBE VALVE,814,G5,G5,G5,H5,C,C,C,C,?,C,
FA_PEVM,MULTIPLE ORIFICE VALVE,9,G6,G6,G6,H6,B,B,B,C,?,B,
FA_PEVN,NEEDLE VALVE,73,H5,H5,H5,H5,C,C,C,C,?,C,
FA_PEVX,DIVERTER VALVE,4,E5,F5,F5,F5,A,B,B,B,?,A,
FA_PEVY,BUTTERFLY VALVE,65,G6,G6,G6,H6,B,B,B,C,?,B,
FA_REBC,"BLOWER, CENTRIFUGAL",4,E7,H7,G7,G7,A,C,B,B,?,A,
FA_REC,CENTRIFUGE,4,G7,H7,G7,G7,B,C,B,B,?,B,
FA_REDH,HYDRAULIC MOTOR,9,G7,G7,G7,H7,B,B,B,C,?,B,
FA_REDP,PNEUMATIC MOTOR,11,G7,G7,G7,H7,B,B,B,C,?,B,
FA_REEL,LIQUID FUEL COMBUSTION ENGINE,5,E7,H7,E7,G7,A,C,A,B,?,A,
FA_REFA,AXIAL FAN,21,E7,G7,F7,F7,A,B,A,A,?,A,
FA_REFC,CENTRIFUGAL FAN,121,G7,H7,G7,G7,B,C,B,B,?,B,
